Data,Custo,Receita
2021-01-02,"25.340,82","149.713,23"
2021-01-03,"25.842,21","139.300,03"
2021-01-04,"45.626,46","303.485,66"
2021-01-05,"44.272,42","288.469,46"
2021-01-06,"43.481,36","242.576,58"
2021-01-07,"45.313,24","249.288,59"
2021-01-08,"42.723,92","210.412,09"
2021-01-09,"41.249,65","173.331,83"
2021-01-10,"39.810,66","169.930,23"
2021-01-11,"65.406,55","285.551,49"
2021-01-12,"62.289,26","274.449,46"
2021-01-13,"58.078,29","255.372,49"
2021-01-14,"66.476,86","253.862,32"
2021-01-15,"55.331,62","199.493,50"
2021-01-16,"38.226,70","155.067,75"
2021-01-17,"39.221,19","166.693,12"
2021-01-18,"67.028,85","304.108,52"
2021-01-19,"60.895,41","281.110,42"
2021-01-20,"60.597,10","239.785,50"
2021-01-21,"61.648,83","247.673,78"
2021-01-22,"53.635,45","213.644,14"
2021-01-23,"45.593,82","154.687,33"
2021-01-24,"44.719,20","171.307,46"
2021-01-25,"62.161,97","264.310,97"
2021-01-26,"62.951,81","262.717,47"
2021-01-27,"57.826,91","242.184,18"
2021-01-28,"52.932,80","217.384,94"
2021-01-29,"47.456,63","204.998,54"
2021-01-30,"33.198,95","158.317,09"
2021-01-31,"36.045,25","189.571,73"
2021-02-01,"63.135,33","310.617,55"
2021-02-02,"57.458,29","300.229,25"
2021-02-03,"57.375,95","297.943,07"
2021-02-04,"62.676,92","261.547,54"
2021-02-05,"58.682,35","244.088,42"
2021-02-06,"46.402,29","192.425,86"
2021-02-07,"45.548,02","211.526,93"
2021-02-08,"79.603,19","346.332,36"
2021-02-09,"76.371,03","311.620,19"
2021-02-10,"70.677,66","277.913,60"
2021-02-11,"65.230,97","261.423,60"
2021-02-12,"62.573,65","219.112,64"
2021-02-13,"47.747,72","180.098,42"
2021-02-14,"48.568,54","174.393,65"
2021-02-15,"67.264,73","255.743,40"
2021-02-16,"56.516,84","241.492,02"
2021-02-17,"58.037,24","257.450,65"
2021-02-18,"58.998,77","253.468,07"
2021-02-19,"50.859,61","201.795,87"
2021-02-20,"46.563,01","175.149,86"
2021-02-21,"46.740,24","181.590,29"
2021-02-22,"84.588,77","283.342,65"
2021-02-23,"70.037,72","265.300,14"
2021-02-24,"64.957,08","240.643,80"
2021-02-25,"56.392,44","226.154,91"
2021-02-26,"50.972,86","209.525,13"
2021-02-27,"47.756,01","169.496,21"
2021-02-28,"48.370,06","211.744,64"
2021-03-01,"67.658,04","295.604,63"
2021-03-02,"64.305,30","289.421,77"
2021-03-03,"55.225,66","255.857,91"
2021-03-04,"59.971,08","249.728,97"
2021-03-05,"57.016,24","218.010,56"
2021-03-06,"49.748,57","191.127,19"
2021-03-07,"46.896,30","213.788,76"
2021-03-08,"78.065,58","331.554,41"
2021-03-09,"83.206,32","334.063,69"
2021-03-10,"83.676,51","340.604,49"
2021-03-11,"72.691,65","317.386,43"
2021-03-12,"53.472,78","277.795,56"
2021-03-13,"45.543,16","229.713,05"
2021-03-14,"48.034,52","239.427,03"
2021-03-16,"88.559,93","340.464,91"
2021-03-17,"78.312,60","326.575,35"
2021-03-18,"76.478,22","336.742,56"
2021-03-19,"59.374,88","278.023,77"
2021-03-20,"52.566,91","184.855,76"
2021-03-21,"48.767,80","223.146,53"
2021-03-22,"76.013,78","348.642,86"
2021-03-23,"70.939,01","321.325,66"
2021-03-24,"66.327,69","300.822,04"
2021-03-25,"68.542,25","324.501,19"
2021-03-26,"57.757,86","245.381,69"
2021-03-27,"48.522,14","213.444,05"
2021-03-28,"50.929,82","219.875,39"
2021-03-29,"69.883,63","353.109,30"
2021-03-30,"64.111,70","248.947,20"
2021-03-31,"63.394,53","306.925,58"
2021-04-01,"55.894,33","285.142,21"
2021-04-02,"38.261,19","209.219,91"
2021-04-03,"45.878,02","211.899,74"
2021-04-04,"41.989,79","198.384,97"
2021-04-05,"72.384,54","402.197,36"
2021-04-06,"67.412,71","382.232,12"
2021-04-07,"64.953,92","325.159,78"
2021-04-08,"63.996,23","348.940,03"
2021-04-09,"56.492,07","285.732,53"
2021-04-10,"50.010,67","230.598,31"
2021-04-11,"52.114,55","249.549,18"
2021-04-12,"75.076,76","401.707,66"
2021-04-13,"71.459,44","351.112,20"
2021-04-14,"71.233,45","357.539,92"
2021-04-15,"68.236,55","315.492,77"
2021-04-16,"63.568,49","286.096,80"
2021-04-17,"59.648,43","213.583,10"
2021-04-18,"60.327,42","239.276,45"
2021-04-19,"81.555,32","356.162,90"
2021-04-20,"73.078,83","303.025,95"
2021-04-21,"58.654,97","258.734,36"
2021-04-22,"75.894,83","296.822,23"
2021-04-23,"58.007,59","251.893,75"
2021-04-24,"51.910,90","193.252,21"
2021-04-25,"46.841,85","197.473,17"
2021-04-26,"65.394,19","327.843,56"
2021-04-27,"63.673,19","320.822,16"
2021-04-28,"59.994,93","290.307,59"
2021-04-29,"55.788,63","297.775,72"
2021-04-30,"50.524,75","256.905,66"
2021-05-01,"42.762,43","204.847,96"
2021-05-02,"45.125,23","234.548,32"
2021-05-03,"63.715,63","359.287,62"
2021-05-04,"68.203,22","337.467,51"
2021-05-05,"81.283,36","321.091,28"
2021-05-06,"72.256,52","326.603,56"
2021-05-07,"66.795,37","287.644,09"
2021-05-08,"65.043,98","211.347,61"
2021-05-09,"59.155,08","222.889,10"
2021-05-10,"95.767,54","433.728,30"
2021-05-11,"78.993,39","396.089,12"
2021-05-12,"78.296,63","354.372,80"
2021-05-13,"77.544,35","324.130,24"
2021-05-14,"69.477,92","261.755,69"
2021-05-15,"45.950,06","185.080,37"
2021-05-16,"42.086,58","195.310,69"
2021-05-17,"81.481,74","352.959,24"
2021-05-18,"72.372,71","328.532,51"
2021-05-19,"72.732,88","303.621,74"
2021-05-20,"69.181,00","303.376,21"
2021-05-21,"46.776,48","250.004,86"
2021-05-22,"34.169,18","181.310,44"
2021-05-23,"35.249,01","201.443,18"
2021-05-24,"23.708,27","236.641,00"
2021-05-25,"45.862,18","277.925,28"
2021-05-26,"55.629,02","296.597,27"
2021-05-27,"52.154,28","261.556,96"
2021-05-28,"46.347,50","228.891,39"
2021-05-29,"44.437,50","197.123,60"
2021-05-30,"48.818,86","231.538,91"
2021-05-31,"68.335,35","362.021,49"
2021-06-01,"63.385,86","347.456,37"
2021-06-02,"60.734,09","309.385,44"
2021-06-03,"48.392,26","256.432,39"
2021-06-04,"51.454,72","253.095,61"
2021-06-05,"47.558,08","209.338,56"
2021-06-06,"49.854,47","217.257,87"
2021-06-07,"68.634,24","375.405,00"
2021-06-08,"64.454,46","363.998,81"
2021-06-09,"63.201,03","336.611,15"
2021-06-10,"61.039,41","322.312,91"
2021-06-11,"50.762,53","263.123,15"
2021-06-12,"42.061,37","183.233,96"
2021-06-13,"49.835,83","228.873,21"
2021-06-14,"77.362,65","420.435,16"
2021-06-15,"98.018,58","388.815,95"
2021-06-20,"66.591,91","254.885,55"
2021-06-21,"108.136,92","425.217,73"
2021-06-22,"99.564,85","366.893,21"
2021-06-23,"91.550,63","317.280,87"
2021-06-24,"95.879,17","298.775,25"
2021-06-25,"64.216,16","252.970,18"
2021-06-26,"50.644,66","183.752,08"
2021-06-27,"50.332,14","215.474,85"
2021-06-28,"86.319,69","341.991,00"
2021-06-29,"81.490,79","342.232,03"
2021-06-30,"78.182,09","347.178,75"